Number of points,1 Core non-MPI,1 Core,2 Core,4 Core,8 Core,16 Core,
100,2.66,3.26,2.14,1.61,1.628667,1.064297924,
220,12.99,14.63,7.94,6.07,3.110428293,1.697232758,
460,58.52,63.03,33.75,18.71,10.66205517,5.996545331,
1000,282.85,311.42,155.98,82.78,50.85429731,25.81204137,
2150,1307.88,1394.05,729.03,389.07,216.2113317,126.8351317,
4640,6282.00,6624.73,3460.92,1847.39,1000.319189,587.3312528,
10000,30487.74,30379.19,16960.27,9005.69,4966.505645,2829.272102,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
